,skeleton-id,node-id-src,node-id-dst,branch-distance,branch-type,mean-pixel-value,stdev-pixel-value,image-coord-src-0,image-coord-src-1,image-coord-dst-0,image-coord-dst-1,coord-src-0,coord-src-1,coord-dst-0,coord-dst-1,euclidean-distance,main,index
184,4,5022,5327,25.77083474990806,2,2.909738323618615,0.367598262950343,611.0,534.0,654.6666666666666,536.3333333333334,347.16017578125,303.4100390625,371.97085937500003,304.73580078125,24.846079459827845,False,185
185,4,5090,12833,49.17201523687184,1,2.84630726401808,0.4306817454248507,614.75,197.0,634.0,120.0,349.29086425781253,111.93216796875001,360.2283984375,68.18203125000001,45.09660870665497,False,186
186,4,5090,5141,23.360397461961213,2,3.015866956374379,0.37714246021395326,614.75,197.0,636.3333333333334,229.33333333333334,349.29086425781253,111.93216796875001,361.5541601562501,130.30343750000003,22.08827676579752,False,187
187,4,5091,12964,28.562813346020935,1,2.6007285635887896,0.5397201764219602,626.3333333333334,979.6666666666666,639.0,1023.0,355.87232421875007,556.63052734375,363.06931640625004,581.2518164062501,25.65159978726709,False,188
188,4,5091,13440,34.885426051293294,1,3.121646136724148,0.3181370093915829,626.3333333333334,979.6666666666666,660.0,1020.0,355.87232421875007,556.63052734375,375.001171875,579.547265625,29.851125709214518,False,189
189,4,5141,5503,48.59470912521601,2,2.8539826857768,0.38540779755258303,636.3333333333334,229.33333333333334,704.0,185.75,361.5541601562501,130.30343750000003,400.00125,105.5401025390625,45.731843127529544,False,190
190,4,5323,5696,63.799642631063485,2,3.5471876332004943,0.44733344561307986,649.6666666666666,763.6666666666666,730.3333333333334,694.6666666666666,369.12994140625,433.90287109375004,414.96341796875004,394.698203125,60.31346088847144,False,191
191,4,5323,5338,12.817106399770509,2,4.537169415786853,0.5065916792140521,649.6666666666666,763.6666666666666,655.25,784.0,369.12994140625,433.90287109375004,372.30229980468755,445.45593750000006,11.980701197983368,False,192
192,4,5324,5628,42.78664738764898,2,3.2623420708646567,0.6047487139886043,652.6666666666666,859.6666666666666,718.3333333333334,879.3333333333334,370.8344921875,488.44849609375,408.14521484375007,499.6227734375001,38.94810007287464,False,193
193,4,5324,13587,33.71684525451661,1,2.776300977409971,0.7812561142550681,652.6666666666666,859.6666666666666,668.0,911.0,370.8344921875,488.44849609375,379.546640625,517.61525390625,30.44012634155883,False,194
194,12,5325,12719,42.779230090463585,1,2.662520667028867,0.6023484789972084,653.8333333333334,63.833333333333336,629.0,0.0,371.49737304687505,36.269052734375,357.38748046875,0.0,38.91700469993936,True,195
195,12,5325,12967,24.323254310764526,1,3.3148390317387095,0.45854580900225533,653.8333333333334,63.833333333333336,640.0,101.0,371.49737304687505,36.269052734375,363.63750000000005,57.38654296875001,22.532776085336575,False,196
196,12,5325,14193,49.52523025949284,1,2.236312077747704,0.5977267083533545,653.8333333333334,63.833333333333336,700.0,0.0,371.49737304687505,36.269052734375,397.72851562500006,0.0,44.76066383782525,True,197
197,12,5325,14571,37.74521260788064,1,3.170877940097505,0.5328084314711456,653.8333333333334,63.833333333333336,715.0,77.0,371.49737304687505,36.269052734375,406.25126953125005,43.75013671875001,35.5499639722451,False,198
198,4,5327,5341,45.85127375442467,2,2.5642015725872933,0.4648273720505489,654.6666666666666,536.3333333333334,678.3333333333334,465.3333333333333,371.97085937500003,304.73580078125,385.4178710937501,264.394765625,42.52318475422557,False,199
199,4,5327,13429,38.03043965102199,1,2.799889805741546,0.47752369534409356,654.6666666666666,536.3333333333334,660.0,585.0,371.97085937500003,304.73580078125,375.001171875,332.38740234375,27.81715051580424,False,200
200,4,5338,5466,21.651503695220498,2,3.997944953280622,1.0104169696473646,655.25,784.0,691.6666666666666,788.3333333333334,372.30229980468755,445.45593750000006,392.99365234375,447.91806640625003,20.837325851623998,True,201
201,4,5340,5568,47.79487704574546,2,2.9066748306023413,0.45202376128018357,673.0,297.75,712.6666666666666,237.66666666666666,382.38755859375004,169.17666503906253,404.92550781250003,135.03830078125,40.90705402722182,False,202
202,4,5340,5566,20.576706926567024,2,2.9263392232632173,0.31280564904777114,673.0,297.75,704.3333333333334,308.3333333333333,382.38755859375004,169.17666503906253,400.19064453125003,175.18994140625,18.791204367101784,False,203
203,4,5341,5945,44.02928743855922,2,2.8698337757750947,0.47270243654531213,678.3333333333334,465.3333333333333,748.75,476.0,385.4178710937501,264.394765625,425.42746582031253,270.455390625,40.466020876463745,False,204
204,4,5342,5712,59.635947497001425,2,2.8250617859852594,0.4988138992191263,681.6666666666666,640.6666666666666,736.3333333333334,559.3333333333334,387.31181640625,364.0162890625,418.3725195312501,317.80402343750006,55.68070377442207,False,205
205,4,5342,5567,14.91035654009033,2,3.5189670648225313,0.719022188325466,681.6666666666666,640.6666666666666,705.6666666666666,646.3333333333334,387.31181640625,364.0162890625,400.94822265625004,367.23599609375003,14.011355708214724,False,206
206,4,5358,13079,30.284092185524443,1,2.539159147663625,0.42938828816536767,688.75,346.0,646.0,323.0,391.3364501953125,196.59152343750003,367.04660156250003,183.52330078125001,27.582153469195784,False,207
207,4,5358,5484,17.66291442878743,2,2.518085538933426,0.7218827937904114,688.75,346.0,692.0,375.0,391.3364501953125,196.59152343750003,393.18304687500006,213.06884765625003,16.58047444156042,False,208
208,4,5358,5566,24.918917830144828,2,2.680462724677531,0.4175494371009653,688.75,346.0,704.3333333333334,308.3333333333333,391.3364501953125,196.59152343750003,400.19064453125003,175.18994140625,23.16083916396105,False,209
209,4,5466,5585,15.059861950111122,2,3.250905233646689,0.6353368725028093,691.6666666666666,788.3333333333334,713.6666666666666,778.6666666666666,392.99365234375,447.91806640625003,405.49369140625004,442.425625,13.653493661518153,False,210
210,4,5466,6100,46.87690528266701,2,3.9947158059382333,0.4506025367827774,691.6666666666666,788.3333333333334,757.6666666666666,825.3333333333334,392.99365234375,447.91806640625003,430.49376953125,468.94085937500006,42.9908898870814,True,211
211,4,5484,5485,5.349001694199135,2,3.9291907106149724,0.23963509245713108,692.0,375.0,701.0,374.0,393.18304687500006,213.06884765625003,398.29669921875,212.50066406250002,5.1451212705772065,False,212
212,4,5485,14233,0.8035329441991446,1,3.7133831417478396,0.30428157924783844,701.0,374.0,702.0,373.0,398.29669921875,212.50066406250002,398.8648828125,211.93248046875001,0.8035329441991446,False,213
213,4,5485,5697,19.73183556029223,2,2.2735216768908413,0.4672987630051933,701.0,374.0,732.0,383.0,398.29669921875,212.50066406250002,415.91039062500005,217.61431640625003,18.340980487622424,False,214
214,4,5503,6129,101.52148355052329,2,3.0179075872612002,0.6909845926281142,704.0,185.75,771.75,99.0,400.00125,105.5401025390625,438.4956884765625,56.25017578125001,62.54053624183579,False,215
